card_a,card_b,co_occurrence,win_rate_together
Bat,Mother Witch,8980,0.5121
Goblins,Mini P.E.K.K.A,8959,0.5208
Archer,Mega Knight,8957,0.4925
Mini P.E.K.K.A,Tombstone,8954,0.5138
Bandit,Valkyrie,8946,0.5065
Furnace,The Log,8940,0.4936
Archer Queen,Fireball,8934,0.5161
Mega Knight,Phoenix,8927,0.5027
Electro Dragon,Poison,8918,0.4606
Archer Queen,Tornado,8911,0.5333
Hog Rider,Mega Minion,8900,0.5158
Baby Dragon,Dark Prince,8897,0.5076
Furnace,Hog Rider,8840,0.4985
Hunter,Phoenix,8792,0.5075
Barbarian Barrel,Sparky,8780,0.5076
Fire Spirit,Royal Hogs,8764,0.4887
Hog Rider,Princess,8761,0.5224
Electro Giant,Golden Knight,8747,0.509
Barbarian,Firecracker,8721,0.4916
Flying Machine,Valkyrie,8704,0.4953
Bandit,Lightning,8693,0.5056
Elixir Golem,Phoenix,8668,0.5092
Hog Rider,Night Witch,8657,0.5157
Mortar,Skeleton,8650,0.4766
Hog Rider,Mortar,8635,0.5404
Executioner,Tesla,8626,0.4766
Electro Wizard,Freeze,8587,0.5107
Bat,Tombstone,8559,0.5082
Electro Spirit,Rage,8528,0.5258
Ice Wizard,The Log,8523,0.5043
Cannon,Mini P.E.K.K.A,8494,0.4965
Goblin Giant,Tornado,8492,0.511
Cannon,Dark Prince,8473,0.5187
Bandit,Wizard,8465,0.4962
Princess,Zap,8459,0.5242
Arrows,Monk,8428,0.4986
Dark Prince,Graveyard,8421,0.4927
Archer,Tornado,8416,0.4592
Electro Wizard,Inferno Tower,8410,0.5071
Magic Archer,Mega Knight,8408,0.4748
Royal Ghost,Royal Hogs,8397,0.5255
Fireball,Freeze,8397,0.4998
Golden Knight,Phoenix,8397,0.5144
Barbarian,Royal Giant,8395,0.5114
Bandit,Mother Witch,8394,0.4957
Barbarian Barrel,Heal Spirit,8391,0.5321
Miner,Royal Ghost,8380,0.4795
Inferno Tower,Poison,8376,0.5005
Dark Prince,Musketeer,8373,0.4972
Inferno Tower,Wizard,8370,0.4986
Mighty Miner,Musketeer,8365,0.5415
Firecracker,Rocket,8360,0.4974
Bomb Tower,Electro Spirit,8354,0.5261
Bowler,Mega Minion,8350,0.5104
Inferno Dragon,Wizard,8348,0.4969
Mother Witch,Wall Breakers,8336,0.5551
Archer Queen,Zap,8323,0.4992
Goblin Drill,Tornado,8309,0.5051
Mini P.E.K.K.A,Royal Ghost,8309,0.507
Barbarian,Tombstone,8297,0.5149
Lightning,Tesla,8294,0.4998
Mini P.E.K.K.A,Royal Hogs,8290,0.5011
Baby Dragon,P.E.K.K.A,8285,0.4814
Giant Skeleton,Royal Giant,8249,0.5365
Goblin Drill,Goblins,8239,0.5143
Balloon,Goblin Cage,8232,0.5128
Poison,Royal Hogs,8223,0.4991
Lava Hound,Minion,8218,0.4826
Heal Spirit,Mini P.E.K.K.A,8210,0.5308
Freeze,Zap,8194,0.5085
Firecracker,Goblin Hut,8188,0.4926
Bat,Giant Snowball,8165,0.5271
Cannon,Valkyrie,8154,0.5313
Guard,Minion,8151,0.517
Goblin Giant,Hunter,8149,0.5031
Inferno Dragon,Skeleton King,8133,0.5433
Dark Prince,Skeleton,8131,0.5222
Giant,Night Witch,8115,0.5338
Mini P.E.K.K.A,Royal Recruits,8110,0.5284
Lightning,Prince,8107,0.5192
Dark Prince,Night Witch,8102,0.5162
Electro Giant,Mother Witch,8099,0.5057
Balloon,The Log,8095,0.5239
Giant Skeleton,Zappies,8093,0.528
Bowler,Zap,8077,0.5004
P.E.K.K.A,Witch,8069,0.4869
Giant Snowball,Hunter,8067,0.5028
Hog Rider,Skeleton Barrel,8066,0.505
Mega Knight,Sparky,8061,0.5012
Fisherman,Lumberjack,8058,0.5436
Bomber,Witch,8057,0.4884
Elite Barbarian,Lightning,8047,0.5008
Baby Dragon,Skeleton King,8046,0.5004
Giant Snowball,Lightning,8024,0.4978
Bomber,Hog Rider,8021,0.5129
Firecracker,Royal Recruits,8017,0.5184
Miner,Minion,7994,0.5183
Bandit,Witch,7974,0.49
Electro Wizard,Skeleton,7970,0.51
Guard,Inferno Dragon,7969,0.508
Freeze,P.E.K.K.A,7967,0.5142
Minion,P.E.K.K.A,7959,0.5021
Monk,The Log,7953,0.5014
Archer Queen,Electro Giant,7934,0.5237
Arrows,Spear Goblin,7928,0.5021
Night Witch,Witch,7920,0.5058
Goblin Drill,The Log,7917,0.5161
Arrows,Mighty Miner,7906,0.5188
Giant,The Log,7893,0.4932
Fireball,Graveyard,7892,0.5063
Bowler,Minion,7882,0.5329
Electro Wizard,Guard,7862,0.5088
Giant,Prince,7855,0.5015
Miner,Night Witch,7851,0.5103
Dark Prince,Giant Snowball,7830,0.4865
Goblins,Rage,7816,0.542
P.E.K.K.A,Rage,7813,0.5033
Firecracker,Giant,7801,0.521
Phoenix,Valkyrie,7797,0.5053
Archer Queen,Dark Prince,7773,0.532
Mighty Miner,Mortar,7763,0.5467
Archer,Mini P.E.K.K.A,7756,0.501
Barbarian,Goblin Hut,7738,0.5075
Fisherman,Wall Breakers,7738,0.5395
Cannon,Zap,7738,0.5132
Bat,P.E.K.K.A,7729,0.4951
Night Witch,Royal Giant,7690,0.5211
Barbarian,Lava Hound,7688,0.4978
Executioner,Lumberjack,7682,0.5161
Mini P.E.K.K.A,Tesla,7646,0.5001
Bowler,Fireball,7640,0.5099
Ice Wizard,Skeleton King,7638,0.5059
Cannon,Goblins,7636,0.5115
Electro Giant,Skeleton,7612,0.5254
Giant,Knight,7610,0.4815
Ice Wizard,Zap,7572,0.5094
Bat,Executioner,7562,0.5085
Ice Spirit,Lightning,7560,0.5247
Lava Hound,Tombstone,7554,0.4894
Golden Knight,Mega Knight,7548,0.4977
Guard,Tornado,7540,0.5158
Electro Wizard,Musketeer,7533,0.507
Musketeer,Prince,7526,0.5238
Elite Barbarian,Mini P.E.K.K.A,7512,0.5124
Electro Wizard,Giant,7500,0.5157
Baby Dragon,Elixir Golem,7491,0.5035
Lightning,Musketeer,7490,0.5212
Lumberjack,Skeleton,7462,0.5371
Barbarian Barrel,Cannon Cart,7456,0.5229
Monk,Rage,7433,0.5089
Mega Knight,Zappies,7414,0.5051
Archer Queen,Giant Skeleton,7403,0.5307
Elixir Collector,Skeleton,7391,0.5029
Dart Goblin,The Log,7382,0.507
Royal Ghost,Zappies,7371,0.5447
Lumberjack,Poison,7369,0.498
Archer,Mortar,7361,0.4666
Archer,Hog Rider,7356,0.5073
Balloon,Inferno Tower,7355,0.5016
Phoenix,Tombstone,7346,0.5415
Guard,The Log,7335,0.4978
Bomber,Giant,7327,0.4919
Baby Dragon,Hog Rider,7327,0.5062
Mortar,Rocket,7324,0.4627
Lightning,Rage,7315,0.509
Elixir Golem,Lightning,7308,0.4955
Bandit,Miner,7306,0.5286
Balloon,Dark Prince,7305,0.5164
Giant Snowball,Goblin Giant,7290,0.4927
Cannon Cart,Fireball,7287,0.5226
Bandit,Dart Goblin,7279,0.4902
Elite Barbarian,Minion,7268,0.4975
Elixir Collector,Minion,7265,0.5254
Barbarian,Giant Snowball,7259,0.5432
Elite Barbarian,Knight,7247,0.5256
Inferno Tower,Witch,7240,0.4938
Giant Skeleton,Ice Spirit,7234,0.5271
Bowler,Giant Snowball,7230,0.5397
Hog Rider,Royal Ghost,7228,0.5112
Spear Goblin,Zap,7228,0.5231
Bomb Tower,Goblin Drill,7228,0.5118
Goblin Cage,Knight,7202,0.5067
Executioner,Skeleton,7173,0.5165
Cannon,Golden Knight,7170,0.5172
Royal Giant,Witch,7163,0.4956
Barbarian,Royal Hogs,7156,0.5323
Bomber,Skeleton,7146,0.5133
Elixir Collector,Giant,7143,0.4918
Rocket,Tesla,7142,0.4685
Three Musketeers,Zap,7136,0.513
Tornado,Witch,7134,0.4903
Firecracker,Goblin Drill,7121,0.5171
Baby Dragon,Phoenix,7120,0.5142
Poison,Witch,7119,0.4946
Firecracker,Mortar,7105,0.4814
Electro Spirit,Poison,7102,0.4693
Electro Wizard,Furnace,7087,0.4984
Poison,Skeleton,7074,0.5147
Baby Dragon,Elixir Collector,7059,0.5372
Golem,Poison,7056,0.5041
Bowler,Mini P.E.K.K.A,7055,0.4981
Mother Witch,Night Witch,7047,0.5023
Mega Minion,Valkyrie,7046,0.5257
Goblin Cage,Miner,7014,0.5114
Arrows,Bomb Tower,7001,0.5029
Fireball,Giant Skeleton,6990,0.5102
Dark Prince,The Log,6981,0.529
Archer Queen,Ice Spirit,6970,0.522
Giant Skeleton,Mini P.E.K.K.A,6966,0.5
Barbarian Barrel,P.E.K.K.A,6957,0.4996
Knight,Royal Delivery,6956,0.4764
Archer Queen,Electro Spirit,6954,0.5116
Elixir Collector,Goblin Giant,6945,0.5356
Mega Knight,Mega Minion,6939,0.5175
Bandit,Musketeer,6935,0.5335
Bowler,The Log,6917,0.5129
Elixir Golem,Valkyrie,6914,0.4819
Poison,Zappies,6881,0.5139
Electro Wizard,Fisherman,6871,0.5314
Goblin Hut,Mini P.E.K.K.A,6868,0.5015
Royal Delivery,Tesla,6864,0.5086
Bat,Skeleton King,6855,0.5173
Bowler,Royal Giant,6851,0.5376
Giant Snowball,Sparky,6843,0.492
Firecracker,Royal Delivery,6839,0.5214
Minion,Royal Ghost,6817,0.5008
Princess,Witch,6805,0.509
Fireball,Princess,6794,0.5268
Giant Skeleton,Witch,6789,0.4878
Cannon,Mega Knight,6785,0.506
Goblin Cage,Rage,6785,0.5179
Battle Healer,Phoenix,6784,0.5105
Dark Prince,Poison,6783,0.5086
Archer,Rocket,6767,0.4554
Bomber,Firecracker,6764,0.5109
Miner,Wizard,6762,0.4725
Archer Queen,Bat,6759,0.5106
Electro Wizard,Golden Knight,6758,0.4747
Earthquake,Mortar,6757,0.5531
Bomb Tower,Graveyard,6749,0.5256
Firecracker,Spear Goblin,6749,0.5331
Fisherman,Poison,6746,0.4659
Battle Ram,Dark Prince,6743,0.5153
Golden Knight,Royal Hogs,6737,0.5265
Bandit,Minion,6722,0.5118
Bat,Freeze,6713,0.5109
Mega Minion,Tombstone,6699,0.4911
Giant Snowball,Lumberjack,6695,0.5291
Bat,Bomber,6689,0.4978
Electro Dragon,Mega Knight,6687,0.4877
Dart Goblin,Wall Breakers,6677,0.5408
Barbarian,Bomber,6664,0.4925
Electro Dragon,Knight,6649,0.5305
Golem,The Log,6649,0.5025
Barbarian,Elite Barbarian,6629,0.4965
Hog Rider,Magic Archer,6622,0.4835
Hog Rider,Miner,6618,0.4903
Furnace,Poison,6605,0.5111
Giant Skeleton,Goblins,6604,0.5478
Balloon,Night Witch,6604,0.5123
Cannon Cart,Mother Witch,6601,0.5342
Baby Dragon,Bomb Tower,6574,0.5218
Furnace,Inferno Dragon,6573,0.4789
Mini P.E.K.K.A,Princess,6571,0.5174
Elixir Collector,Fisherman,6553,0.5454
Mother Witch,Poison,6552,0.4921
Dart Goblin,Valkyrie,6546,0.5052
Firecracker,Ice Wizard,6540,0.4969
Freeze,The Log,6530,0.5248
Bomber,Lumberjack,6524,0.5192
Rocket,Wizard,6513,0.4807
Flying Machine,Golden Knight,6511,0.5111
Goblin Cage,Poison,6506,0.5074
Fireball,Heal Spirit,6506,0.5412
Royal Recruits,Zap,6491,0.538
Cannon Cart,Furnace,6468,0.5229
Giant,Sparky,6461,0.5074
Royal Hogs,Valkyrie,6457,0.5013
Bat,Royal Hogs,6452,0.5003
Dart Goblin,Fireball,6417,0.4946
Night Witch,Wizard,6403,0.5115
Bowler,Executioner,6402,0.5305
Mega Minion,Poison,6379,0.5082
Barbarian,Electro Giant,6379,0.5125
Bowler,Hog Rider,6378,0.5318
Ice Spirit,Zap,6350,0.5038
Electro Wizard,Tesla,6348,0.4893
Electro Giant,Mega Knight,6343,0.4783
Electro Wizard,Golem,6338,0.5019
Ice Wizard,Lightning,6338,0.5172
Bomber,Mega Minion,6337,0.5272
Electro Spirit,Miner,6336,0.4504
Prince,Tornado,6328,0.5103
Giant,Miner,6320,0.4883
Bowler,Goblin Cage,6318,0.5146
Bat,Elite Barbarian,6305,0.4999
Battle Ram,The Log,6290,0.507
Fireball,Ice Wizard,6288,0.4998
Giant Skeleton,Mega Knight,6287,0.4826
Balloon,Executioner,6286,0.5067
Bomber,Valkyrie,6279,0.5171
Golem,Mega Knight,6272,0.4864
Poison,Wizard,6243,0.4991
Barbarian,Dark Prince,6242,0.5373
Bat,Inferno Tower,6231,0.5123
Guard,Inferno Tower,6228,0.4957
Flying Machine,The Log,6226,0.5008
Giant Skeleton,Tombstone,6215,0.5083
Bomber,Mega Knight,6199,0.5067
Minion,Wall Breakers,6186,0.5076
Mini P.E.K.K.A,Zappies,6185,0.4994
Cannon Cart,Mega Knight,6184,0.5094
Barbarian Barrel,Elixir Golem,6176,0.5225
Cannon Cart,Goblin Hut,6175,0.5249
Mega Knight,Rocket,6173,0.4891
Knight,Prince,6172,0.5361
Barbarian,Inferno Tower,6170,0.5107
Mighty Miner,Miner,6154,0.4787
Heal Spirit,Mega Minion,6143,0.544
Barbarian,Princess,6140,0.5231
Giant,Tornado,6128,0.4945
Electro Spirit,Elixir Collector,6125,0.5398
Poison,Royal Delivery,6124,0.4829
Dark Prince,Executioner,6122,0.5328
Electro Giant,Valkyrie,6119,0.5079
Archer,Valkyrie,6118,0.5016
Electro Wizard,Goblins,6117,0.5401
Night Witch,Skeleton,6108,0.5192
Electro Spirit,Skeleton King,6104,0.5146
Elite Barbarian,Furnace,6101,0.5129
Balloon,Prince,6098,0.5041
Balloon,Hog Rider,6094,0.511
Lumberjack,Mother Witch,6093,0.4896
Elixir Golem,Executioner,6086,0.4821
Giant Skeleton,Night Witch,6074,0.5132
Electro Wizard,Tombstone,6070,0.5112
Goblins,Minion,6067,0.5217
Firecracker,Giant Snowball,6062,0.5107
Flying Machine,Lightning,6053,0.4976
Goblin Giant,Witch,6034,0.4998
Bomb Tower,Lightning,6028,0.5182
Graveyard,Phoenix,6013,0.5392
Goblins,Lumberjack,6006,0.5526
Heal Spirit,Minion,5991,0.5281
Baby Dragon,Lava Hound,5976,0.5042
Executioner,Inferno Tower,5966,0.5104
Freeze,Inferno Tower,5965,0.5026
Giant Skeleton,Royal Hogs,5957,0.5165
Executioner,Rage,5948,0.5173
Cannon Cart,Firecracker,5947,0.5043
Goblins,Skeleton Barrel,5944,0.5528
Fireball,Spear Goblin,5931,0.4965
Arrows,Barbarian Hut,5924,0.5073
Baby Dragon,Battle Healer,5920,0.5182
Rocket,Zap,5914,0.4829
Mortar,Poison,5912,0.5154
Electro Spirit,Mini P.E.K.K.A,5900,0.5283
Musketeer,Tornado,5895,0.5089
Inferno Tower,Lumberjack,5892,0.5073
Monk,Phoenix,5890,0.5104
Inferno Dragon,P.E.K.K.A,5878,0.5034
Bandit,Executioner,5877,0.5021
Freeze,Musketeer,5858,0.5205
Mini P.E.K.K.A,Wall Breakers,5831,0.5088
Giant Snowball,Phoenix,5827,0.4901
Barbarian Barrel,Rage,5825,0.5306
Bomb Tower,Ice Wizard,5818,0.5199
Executioner,Prince,5800,0.5312
Electro Spirit,Ice Golem,5795,0.5232
Elite Barbarian,Mega Minion,5789,0.5213
Executioner,Guard,5784,0.5021
Mega Knight,Spear Goblin,5770,0.5291
Baby Dragon,Witch,5750,0.4878
Dart Goblin,Rage,5748,0.4876
Inferno Tower,Rocket,5742,0.4758
Bat,Electro Giant,5741,0.5102
Goblin Cage,Phoenix,5741,0.5138
Lumberjack,Tombstone,5740,0.5268
Bat,Magic Archer,5736,0.4899
Elite Barbarian,Musketeer,5726,0.5051
Baby Dragon,Guard,5715,0.4952
Electro Spirit,Fire Spirit,5713,0.5232
Tesla,Wizard,5678,0.5192
Executioner,Giant,5675,0.5174
Cannon,Electro Spirit,5673,0.5149
Electro Dragon,Lightning,5664,0.5238
Flying Machine,Royal Ghost,5663,0.4787
Monk,Tornado,5661,0.4951
Mighty Miner,Wall Breakers,5651,0.4879
Magic Archer,Royal Recruits,5645,0.5236
Golem,Wizard,5639,0.4836
Electro Wizard,Royal Recruits,5632,0.5233
Furnace,Royal Giant,5620,0.489
Hog Rider,Mother Witch,5615,0.4978
Lightning,Skeleton King,5608,0.5111
Elixir Collector,Wall Breakers,5604,0.5517
Earthquake,Electro Wizard,5598,0.5068
Guard,Lumberjack,5597,0.5062
Fireball,Golden Knight,5597,0.4837
Dart Goblin,Witch,5595,0.5022
Elixir Golem,Wizard,5595,0.4845
Inferno Tower,Miner,5593,0.4938
Minion,Poison,5593,0.4945
Inferno Dragon,Skeleton Barrel,5589,0.5259
Furnace,Musketeer,5584,0.5043
Elite Barbarian,P.E.K.K.A,5580,0.4892
Baby Dragon,Bandit,5575,0.4996
Bat,Furnace,5573,0.4978
Balloon,Giant,5568,0.5307
Musketeer,Wall Breakers,5565,0.5319
Sparky,Valkyrie,5552,0.5168
Magic Archer,Night Witch,5541,0.4308
Barbarian,Three Musketeers,5522,0.5388
Fire Spirit,Valkyrie,5522,0.5187
Bat,Tesla,5509,0.5104
Goblin Cage,The Log,5503,0.5179
Miner,Royal Delivery,5482,0.4568
Barbarian,Prince,5472,0.5141
Giant,Skeleton,5471,0.5167
Executioner,Mother Witch,5467,0.4736
Mighty Miner,Poison,5462,0.4652
Magic Archer,Witch,5460,0.489
Mini P.E.K.K.A,Mortar,5454,0.4879
Electro Spirit,Royal Delivery,5452,0.4776
Mega Minion,Royal Giant,5452,0.5149
Graveyard,P.E.K.K.A,5451,0.5069
Goblin Cage,Golden Knight,5438,0.5228
Arrows,Mortar,5414,0.5028
Poison,Rage,5412,0.5111
Goblin Hut,Poison,5402,0.4898
Goblin Cage,Mega Knight,5361,0.5251
Skeleton Barrel,Valkyrie,5347,0.4997
Battle Healer,Mini P.E.K.K.A,5345,0.5134
Furnace,Witch,5341,0.4799
Goblin Hut,Witch,5339,0.4829
Barbarian Barrel,Barbarian Hut,5317,0.5074
Golem,Valkyrie,5316,0.5218
Arrows,Ice Spirit,5316,0.5231
Goblin Hut,Lightning,5312,0.4902
Barbarian Barrel,Battle Healer,5309,0.5172
Graveyard,Zap,5294,0.5123
Freeze,Tombstone,5281,0.5268
Electro Spirit,Giant Skeleton,5270,0.525
Bomber,Elite Barbarian,5270,0.5078
Hog Rider,Royal Giant,5256,0.5108
Lumberjack,Magic Archer,5255,0.4854
Lumberjack,Royal Ghost,5240,0.4931
Baby Dragon,Miner,5239,0.4909
Prince,Rocket,5213,0.4842
Balloon,Guard,5213,0.5097
Giant Skeleton,Zap,5208,0.5013
Barbarian,Rocket,5204,0.5019
Hog Rider,Phoenix,5204,0.5108
Electro Dragon,Valkyrie,5193,0.4845
Inferno Tower,Royal Giant,5183,0.5215
Giant Skeleton,Hunter,5183,0.5211
Phoenix,Witch,5177,0.492
Bat,Flying Machine,5172,0.5014
Barbarian,Bat,5160,0.5217
Mighty Miner,Royal Recruits,5143,0.531
Golden Knight,Inferno Dragon,5140,0.4924
Barbarian,Goblins,5137,0.5663
Freeze,Minion,5130,0.5006
Golem,Inferno Dragon,5125,0.5075
Bomber,Cannon,5110,0.5497
Mighty Miner,Tornado,5106,0.483
Electro Giant,Mega Minion,5102,0.5035
Archer Queen,Firecracker,5091,0.5109
Goblin Hut,Zap,5087,0.4909
Princess,The Log,5086,0.5165
Mini P.E.K.K.A,Spear Goblin,5083,0.5233
Mega Knight,Princess,5074,0.4673
Electro Spirit,Night Witch,5067,0.522
Ice Wizard,Mini P.E.K.K.A,5067,0.5175
Rocket,Witch,5061,0.4843
Lava Hound,Mega Minion,5057,0.493
Hunter,Zappies,5039,0.5209
Minion,Tombstone,5029,0.4812
Golden Knight,Zappies,5023,0.5232
Inferno Tower,Minion,5022,0.5
Furnace,Knight,5017,0.4933
Barbarian,Monk,5016,0.5159
Royal Hogs,Witch,5008,0.493
Barbarian Hut,Flying Machine,5003,0.4971
Golden Knight,Mini P.E.K.K.A,4998,0.512
Executioner,Minion,4997,0.5071
Executioner,Night Witch,4995,0.5253
Miner,Tombstone,4988,0.5044
Barbarian,Knight,4987,0.5165
Heal Spirit,Royal Hogs,4985,0.5208
Electro Wizard,Monk,4985,0.4977
Goblin Giant,Prince,4978,0.5127
Musketeer,Royal Giant,4974,0.4986
Graveyard,Zappies,4971,0.5309
Skeleton Barrel,Spear Goblin,4953,0.5354
Cannon Cart,Flying Machine,4951,0.5181
Fireball,Mortar,4943,0.4995
Bomber,Golden Knight,4941,0.5195
Battle Healer,Poison,4936,0.4897
Furnace,Wizard,4935,0.4967
Battle Ram,Minion,4931,0.5088
Musketeer,Rocket,4922,0.5043
Dart Goblin,Prince,4916,0.4921
Dark Prince,Witch,4908,0.4941
Electro Wizard,Royal Hogs,4903,0.4932
Giant,Rocket,4898,0.4757
Archer,Minion,4894,0.4982
Arrows,Cannon Cart,4874,0.5259
Archer Queen,Miner,4870,0.4766
Golden Knight,Valkyrie,4866,0.4679
Elixir Golem,Witch,4864,0.4955
Musketeer,Wizard,4864,0.5006
Inferno Dragon,Skeleton,4861,0.5116
Freeze,Giant,4841,0.4927
Archer Queen,Goblins,4827,0.527
Musketeer,P.E.K.K.A,4826,0.4979
Giant Snowball,Hog Rider,4824,0.4992
Royal Hogs,Wizard,4821,0.4879
Archer Queen,Poison,4815,0.4926
Baby Dragon,Rage,4810,0.4892
Bandit,Night Witch,4800,0.5056
Electro Giant,Lumberjack,4792,0.5148
Mega Knight,Royal Giant,4782,0.5033
Electro Giant,Zap,4780,0.4916
Ice Wizard,Wizard,4779,0.5005
Graveyard,Mini P.E.K.K.A,4772,0.5075
Bomber,Prince,4770,0.5314
Freeze,Phoenix,4768,0.5132
Ice Golem,Lumberjack,4764,0.5269
Royal Ghost,Skeleton Barrel,4764,0.5134
P.E.K.K.A,Tesla,4763,0.5077
Executioner,Sparky,4757,0.5037
Barbarian,Hunter,4756,0.5341
Furnace,Lumberjack,4755,0.4932
Giant Skeleton,Musketeer,4753,0.493
Elite Barbarian,Poison,4752,0.4954
Graveyard,Mega Minion,4736,0.5384
Battle Healer,Lumberjack,4735,0.5229
Heal Spirit,Skeleton,4732,0.5074
Dark Prince,Magic Archer,4730,0.507
Dart Goblin,Guard,4726,0.5032
Lumberjack,Miner,4720,0.4854
Flying Machine,Lumberjack,4719,0.5088
Archer Queen,Mini P.E.K.K.A,4719,0.5143
Barbarian Barrel,Bomber,4718,0.5229
Giant Skeleton,Royal Ghost,4716,0.5604
Guard,Musketeer,4711,0.5084
Giant,Lightning,4707,0.5163
Elite Barbarian,Royal Hogs,4699,0.5127
Dark Prince,Valkyrie,4687,0.5142
Bat,Elixir Collector,4683,0.4939
Goblin Giant,Skeleton,4683,0.5381
Bandit,Phoenix,4679,0.4721
Giant Snowball,Inferno Dragon,4658,0.482
Cannon,Poison,4658,0.5142
Electro Giant,Night Witch,4656,0.5064
Balloon,Tesla,4649,0.5248
Elite Barbarian,Freeze,4648,0.4815
Knight,Witch,4646,0.5084
Golem,Tombstone,4644,0.5078
Giant Skeleton,Tornado,4636,0.4901
Barbarian Barrel,Earthquake,4632,0.513
Prince,Spear Goblin,4618,0.5182
Battle Ram,Mini P.E.K.K.A,4614,0.5002
Golden Knight,Three Musketeers,4611,0.507
Elixir Collector,Ice Golem,4607,0.5311
Furnace,Tornado,4603,0.4871
Bowler,Tombstone,4599,0.5225
Inferno Dragon,Zappies,4595,0.5195
Bomber,Lava Hound,4590,0.4852
Bomber,Wizard,4589,0.4879
Battle Healer,Heal Spirit,4582,0.507
Elixir Collector,Prince,4578,0.5131
Flying Machine,Magic Archer,4577,0.4483
Hunter,Lumberjack,4573,0.5222
Spear Goblin,Valkyrie,4562,0.4827
Dart Goblin,Elite Barbarian,4560,0.4952
Battle Healer,Witch,4553,0.4867
Executioner,Goblin Drill,4549,0.5102
Bandit,Golden Knight,4539,0.4988
Elite Barbarian,Prince,4533,0.5151
Flying Machine,Inferno Dragon,4530,0.5086
Graveyard,Hunter,4529,0.5268
Lumberjack,Prince,4528,0.4951
Archer,Lightning,4524,0.5031
Inferno Dragon,Sparky,4522,0.4931
Goblin Drill,Knight,4498,0.5145
Elite Barbarian,Rocket,4496,0.4798
Tornado,Zappies,4491,0.5023
Golden Knight,Zap,4486,0.5116
Giant,Inferno Dragon,4485,0.5168
Electro Giant,The Log,4484,0.4871
Elite Barbarian,Miner,4481,0.4856
Phoenix,Skeleton King,4480,0.5208
Guard,Poison,4477,0.5157
Lightning,Magic Archer,4477,0.4887
Archer,Firecracker,4476,0.4781
Flying Machine,Knight,4465,0.5153
Fire Spirit,Zap,4456,0.5088
Minion,Night Witch,4455,0.4907
Bat,Cannon,4453,0.5154
Cannon,Electro Wizard,4452,0.4921
Baby Dragon,Wizard,4443,0.4641
Minion,Skeleton Barrel,4435,0.5046
Mega Minion,Witch,4426,0.4896
Electro Wizard,Skeleton Barrel,4423,0.5132
Guard,Wizard,4421,0.4662
Electro Wizard,Goblin Hut,4417,0.484
Golden Knight,Royal Recruits,4407,0.5287
Fireball,Monk,4387,0.5183
Bowler,Fisherman,4380,0.5429
Musketeer,Rage,4375,0.5314
Magic Archer,Royal Hogs,4364,0.4973
Elixir Golem,The Log,4362,0.511
Skeleton Barrel,Witch,4360,0.4878
Arrows,Three Musketeers,4356,0.5115
Firecracker,Skeleton King,4347,0.4934
Earthquake,Mega Knight,4342,0.4947
Electro Spirit,Giant Snowball,4333,0.5278
Sparky,Witch,4333,0.4955
Ice Spirit,Spear Goblin,4331,0.4514
Graveyard,Witch,4325,0.5008
Earthquake,Electro Giant,4322,0.5032
P.E.K.K.A,Phoenix,4316,0.4483
P.E.K.K.A,Rocket,4312,0.4877
Goblin Hut,Wizard,4309,0.4778
Dark Prince,Miner,4302,0.5137
Ice Golem,Zap,4302,0.5105
Miner,Rocket,4301,0.4594
Elite Barbarian,Flying Machine,4299,0.5143
Balloon,Bandit,4299,0.5008
Archer Queen,Prince,4297,0.5015
Earthquake,Executioner,4297,0.4175
Ice Golem,Three Musketeers,4288,0.5352
Earthquake,Monk,4285,0.4747
Dark Prince,Electro Spirit,4284,0.531
Fireball,Mighty Miner,4275,0.5004
Phoenix,Zappies,4272,0.4991
Lightning,Poison,4265,0.5116
Barbarian Hut,Royal Hogs,4260,0.5016
Inferno Tower,Magic Archer,4260,0.4777
Musketeer,Sparky,4250,0.5209
Earthquake,Fisherman,4249,0.5072
Ice Spirit,Rage,4248,0.5311
Ice Wizard,Mega Knight,4248,0.4548
Barbarian Barrel,Giant Skeleton,4246,0.5287
Hog Rider,Monk,4242,0.4866
Inferno Dragon,Phoenix,4209,0.4897
Baby Dragon,Prince,4206,0.4983
Baby Dragon,Skeleton,4205,0.5027
Ice Wizard,Musketeer,4203,0.518
Elixir Golem,Lumberjack,4201,0.5268
Skeleton,Witch,4201,0.5137
Elite Barbarian,Ice Golem,4195,0.5232
Mother Witch,Witch,4195,0.487
Hog Rider,Royal Recruits,4194,0.5012
Bat,Guard,4193,0.5006
Cannon,Inferno Dragon,4190,0.5007
Bat,Minion,4190,0.5131
Balloon,Electro Spirit,4186,0.5521
Mother Witch,Skeleton,4183,0.4982
Giant,Spear Goblin,4178,0.4725
Furnace,P.E.K.K.A,4172,0.5002
Bat,Giant,4169,0.5179
Heal Spirit,Knight,4158,0.5563
Goblins,Hunter,4156,0.5491
Barbarian Barrel,Magic Archer,4151,0.5047
Night Witch,Royal Ghost,4151,0.4406
Graveyard,Skeleton,4150,0.5072
Mother Witch,Prince,4149,0.5018
Elixir Collector,Witch,4143,0.4839
Royal Giant,Wizard,4125,0.4936
Flying Machine,Tornado,4120,0.5451
Graveyard,The Log,4099,0.5157
Lava Hound,Miner,4096,0.5122
Electro Wizard,Goblin Cage,4093,0.5099
Valkyrie,Zappies,4091,0.4921
